airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,calendar_updated_days
1874928,9767449,2013-11-02,60,1,0.9,TRUE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,1,2,2,bed,NA,142,845,2982,NA,NA,2,25,2,90,TRUE,6,25,55,144,2015-10-03,34,2014-09-22,2015-09-22,99,10,10,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,1,2.71,7
739495,3867687,2012-10-14,1440,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,1,2,2,bed,NA,120,725,2500,NA,75,1,0,3,60,TRUE,6,23,44,134,2015-10-02,61,2013-07-21,2015-09-22,96,10,10,10,10,9,10,TRUE,NA,FALSE,strict,FALSE,FALSE,1,2.27,3
1696051,3350653,2012-08-23,720,0.9,1,FALSE,1,1,TRUE,TRUE,TRUE,house,entire_place,3,1,1,1,bed,NA,85,505,1400,100,60,2,0,3,1125,TRUE,13,19,19,201,2015-10-03,6,2013-11-04,2015-08-25,93,10,9,10,10,9,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.26,21
5152597,22591305,2014-10-15,60,0.67,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,5,1,2,2,bed,NA,125,NA,NA,NA,30,3,15,2,1125,TRUE,0,0,0,226,2015-10-03,10,2015-03-14,2015-08-16,100,10,10,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,1,1.47,60
8036094,7950629,2013-08-05,60,1,0.92,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,75,475,NA,NA,NA,2,15,1,7,TRUE,23,53,82,82,2015-10-03,2,2015-09-08,2015-09-14,100,10,10,10,10,8,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,2,14
7395957,31551384,2015-04-19,60,1,0.92,FALSE,1,1,TRUE,FALSE,TRUE,house,private_room,2,1,1,1,bed,NA,95,NA,NA,NA,NA,1,0,1,1125,TRUE,0,5,26,294,2015-10-03,7,2015-08-04,2015-09-28,100,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,3.44,14
6316235,12608762,2014-02-26,1440,0.7,0.63,FALSE,3,3,TRUE,TRUE,FALSE,apartment,entire_place,6,1,2,5,bed,NA,275,1600,6e3,300,40,6,25,1,1125,TRUE,0,0,20,295,2015-10-03,9,2015-05-19,2015-09-21,96,9,8,10,10,10,9,TRUE,NA,FALSE,strict,FALSE,FALSE,3,1.96,35
6213619,2966741,2012-07-17,1440,1,1,TRUE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,1,2,2,bed,NA,175,NA,NA,200,25,2,25,2,1125,TRUE,0,14,28,243,2015-10-03,10,2015-05-17,2015-09-21,98,10,10,10,10,10,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,2.14,1
4157774,9510172,2013-10-19,720,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,2,1,1,bed,NA,100,680,2550,400,75,1,0,7,28,TRUE,21,37,37,282,2015-10-03,3,2014-10-29,2014-12-15,93,10,9,10,10,9,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.26,1
1359619,7379714,2013-07-09,60,1,0.85,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,80,605,NA,NA,NA,1,10,2,30,TRUE,19,49,79,354,2015-10-03,26,2013-07-24,2015-09-21,96,10,9,10,10,9,10,TRUE,NA,FALSE,flexible,TRUE,TRUE,1,0.97,0
6864525,18999598,2014-07-27,720,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,1,1,1,1,bed,NA,55,320,950,NA,NA,1,10,2,1125,TRUE,2,2,2,85,2015-10-03,4,2015-06-22,2015-08-16,90,9,10,9,8,10,9,TRUE,NA,FALSE,strict,FALSE,FALSE,1,1.15,14
8043570,34925165,2015-06-03,720,1,0.71,FALSE,2,2,TRUE,FALSE,TRUE,condominium,private_room,2,1,1,1,bed,NA,70,NA,NA,NA,NA,1,0,1,1125,TRUE,16,32,41,72,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,NA,35
7637490,26790353,2015-01-27,7200,0.44,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,5,1,2,3,bed,NA,125,NA,NA,NA,NA,1,0,1,1125,TRUE,1,29,55,330,2015-10-03,1,2015-08-11,2015-08-11,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.56,60
6634916,34473759,2015-05-28,60,0.88,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,3,1,1,2,bed,NA,75,425,1800,NA,25,1,25,1,14,TRUE,22,52,82,82,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,NA,6
3325262,15907722,2014-05-23,1440,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,1.5,2,2,bed,NA,210,1245,NA,NA,75,2,25,2,1125,TRUE,0,0,0,273,2015-10-03,7,2014-07-11,2015-08-04,94,10,10,10,10,9,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.47,4
4488508,20579646,2014-08-26,60,1,1,FALSE,3,3,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,bed,NA,60,250,800,NA,NA,1,0,1,1125,TRUE,0,0,13,288,2015-10-03,13,2014-11-09,2015-08-20,86,9,7,9,10,10,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,3,1.19,60
5737004,29751294,2015-03-21,1440,0.5,0.8,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,85,500,NA,NA,NA,1,0,1,1125,TRUE,0,0,11,286,2015-10-03,4,2015-03-29,2015-08-12,100,9,10,9,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.63,60
7420598,1425670,2011-11-20,1440,0.8,0.92,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,55,NA,NA,NA,20,1,0,1,1125,TRUE,11,41,71,71,2015-10-03,11,2015-07-25,2015-09-15,98,10,9,10,10,9,10,TRUE,NA,FALSE,strict,FALSE,TRUE,1,4.65,14
4045398,1884126,2012-03-08,1440,0.71,0.73,FALSE,3,3,TRUE,TRUE,TRUE,apartment,shared_room,2,1,1,1,airbed,NA,65,400,NA,NA,15,1,25,1,1125,TRUE,30,60,90,365,2015-10-03,7,2014-09-14,2015-08-04,100,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,3,0.55,28
5814832,21143101,2014-09-09,720,1,NA,TRUE,1,1,TRUE,TRUE,TRUE,house,entire_place,2,1,1,1,bed,NA,102,650,2300,NA,45,1,0,2,1125,TRUE,0,0,0,89,2015-10-03,16,2015-04-28,2015-08-17,98,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,3.02,60
6403963,32017356,2015-04-26,60,1,0.6,FALSE,1,1,TRUE,TRUE,FALSE,apartment,private_room,2,1,1,1,futon,NA,60,434,1533,NA,NA,1,0,2,1125,TRUE,7,37,67,342,2015-10-03,6,2015-06-16,2015-08-25,93,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.64,42
964467,5257589,2013-02-27,1440,0.67,1,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,90,450,1200,NA,NA,1,0,2,1125,TRUE,0,3,20,25,2015-10-03,16,2013-03-25,2015-08-22,95,10,9,10,10,10,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.52,4
6326806,12608762,2014-02-26,1440,0.7,0.63,FALSE,3,3,TRUE,TRUE,TRUE,apartment,entire_place,6,1,2,2,bed,NA,150,800,3e3,250,20,2,25,1,1125,TRUE,0,0,20,290,2015-10-03,9,2015-05-12,2015-09-16,89,10,9,10,10,10,9,TRUE,NA,FALSE,strict,FALSE,FALSE,3,1.86,14
1503962,5892784,2013-04-12,60,1,0.84,FALSE,2,2,TRUE,TRUE,TRUE,condominium,entire_place,4,1,1,1,bed,NA,110,NA,NA,350,125,2,45,1,28,TRUE,25,55,85,360,2015-10-03,21,2013-10-16,2015-09-23,94,10,10,10,10,8,9,TRUE,NA,FALSE,super_strict_30,FALSE,FALSE,2,0.88,0
4633440,23994532,2014-11-21,720,1,1,TRUE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,6,1,2,2,bed,NA,125,800,3e3,250,80,4,25,2,1125,TRUE,8,26,35,300,2015-10-03,17,2015-01-26,2015-09-21,98,10,10,10,10,9,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,2.03,28
6585861,3711986,2012-09-29,1440,1,0.5,FALSE,1,1,TRUE,TRUE,TRUE,house,entire_place,8,3.5,3,5,bed,NA,350,NA,NA,NA,100,1,0,2,1125,TRUE,0,0,0,102,2015-10-03,5,2015-06-23,2015-09-14,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.46,49
3912670,1884126,2012-03-08,1440,0.71,0.73,FALSE,3,3,TRUE,TRUE,TRUE,apartment,shared_room,3,1,1,2,bed,NA,65,440,NA,NA,15,1,25,1,1125,TRUE,30,60,90,365,2015-10-03,4,2014-09-14,2015-07-05,90,9,8,10,10,8,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,3,0.31,14
4518079,7728471,2013-07-25,720,0.9,0.85,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,150,NA,NA,100,NA,2,20,1,1125,TRUE,19,47,48,323,2015-10-03,31,2014-11-10,2015-09-07,95,10,10,10,10,10,9,TRUE,NA,FALSE,strict,FALSE,FALSE,1,2.84,1
6012333,20579646,2014-08-26,60,1,1,FALSE,3,3,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,bed,NA,60,250,800,NA,NA,1,0,1,1125,TRUE,5,5,5,221,2015-10-03,5,2015-08-29,2015-09-13,92,8,7,10,10,10,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,3,4.17,7
3468751,17477130,2014-06-30,1440,1,0.17,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,7,2,3,3,bed,NA,225,1400,NA,NA,NA,1,0,3,1125,TRUE,12,35,60,330,2015-10-03,1,2015-08-17,2015-08-17,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.63,28
7695801,27615683,2015-02-11,60,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,90,NA,NA,NA,40,1,0,1,1125,TRUE,0,0,0,35,2015-10-03,2,2015-08-09,2015-09-27,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.07,21
6276987,30597074,2015-04-04,1440,1,0.68,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,60,NA,NA,NA,NA,1,0,1,1125,TRUE,12,28,44,312,2015-10-03,12,2015-05-19,2015-09-21,98,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,2.61,21
6713059,2441740,2012-05-22,1440,1,0.4,FALSE,1,1,TRUE,TRUE,FALSE,apartment,private_room,1,1,1,1,bed,NA,58,350,NA,NA,25,1,0,1,5,TRUE,29,59,89,364,2015-10-03,4,2015-07-14,2015-09-05,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.46,14
8153968,16500117,2014-06-07,60,1,NA,FALSE,1,1,TRUE,TRUE,FALSE,apartment,private_room,4,1,1,1,bed,NA,77,450,1600,NA,NA,1,0,1,1125,TRUE,1,31,60,60,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,35
7826615,35240042,2015-06-07,60,1,0.88,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,75,NA,NA,NA,NA,1,0,1,1125,TRUE,21,51,81,356,2015-10-03,3,2015-09-14,2015-09-28,93,10,9,10,10,9,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,3,1
6093933,31625585,2015-04-20,1440,0.5,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,60,500,1600,NA,10,1,0,1,1125,TRUE,0,0,0,139,2015-10-03,4,2015-06-21,2015-07-10,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.14,60
8153735,23019078,2014-10-27,720,0.94,0.86,FALSE,1,1,TRUE,FALSE,FALSE,apartment,private_room,2,1,1,1,bed,NA,60,NA,NA,NA,5,1,0,1,1125,TRUE,8,38,68,343,2015-10-03,2,2015-09-14,2015-09-16,90,9,9,10,10,9,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,2,21
649848,1382472,2011-11-07,1440,0.9,0.6,FALSE,2,2,TRUE,TRUE,TRUE,apartment,private_room,1,1,1,1,bed,NA,55,350,1300,300,25,0,0,2,1125,TRUE,22,52,82,357,2015-10-03,1,2015-09-01,2015-09-01,100,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,2,0.91,1
7055844,27615225,2015-02-11,720,0.91,0.86,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,60,300,860,NA,NA,1,0,1,1125,TRUE,10,27,47,322,2015-10-03,12,2015-07-11,2015-09-28,93,10,10,10,9,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,4.24,2
895426,4770980,2013-01-20,60,1,1,FALSE,6,6,TRUE,TRUE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,107,NA,NA,NA,30,2,0,1,1000,TRUE,9,36,66,341,2015-10-03,140,2013-02-04,2015-09-17,90,9,9,9,10,10,9,TRUE,NA,TRUE,strict,FALSE,TRUE,6,4.32,1
3794758,19487548,2014-08-05,7200,0.33,1,FALSE,1,1,TRUE,TRUE,FALSE,apartment,private_room,1,1,1,1,airbed,NA,35,190,690,NA,NA,1,0,1,1125,TRUE,1,19,49,324,2015-10-03,9,2014-09-21,2015-08-26,63,7,6,7,7,9,7,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.71,60
6850175,22567195,2014-10-15,60,1,0.99,FALSE,5,5,TRUE,TRUE,TRUE,condominium,entire_place,6,1,2,3,bed,NA,139,NA,NA,200,59,4,25,2,1125,TRUE,15,39,64,332,2015-10-03,16,2015-06-26,2015-09-23,95,10,10,10,10,10,9,TRUE,NA,FALSE,strict,FALSE,FALSE,5,4.8,0
6612044,11581930,2014-01-23,60,1,1,FALSE,1,1,TRUE,TRUE,TRUE,house,private_room,4,1,1,1,bed,NA,85,575,1950,NA,30,2,10,2,1125,TRUE,10,34,64,308,2015-10-03,11,2015-06-02,2015-09-26,100,10,10,10,10,10,10,TRUE,NA,TRUE,strict,FALSE,FALSE,1,2.66,5
8627226,33607250,2015-05-17,60,1,1,FALSE,2,2,TRUE,TRUE,TRUE,condominium,entire_place,5,2,2,2,bed,NA,150,NA,NA,NA,NA,1,0,1,1125,TRUE,0,5,5,5,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,NA,1
4907692,22632675,2014-10-17,NA,NA,NA,FALSE,1,1,TRUE,FALSE,FALSE,house,entire_place,4,2,2,2,bed,NA,150,NA,NA,NA,75,1,0,7,1125,TRUE,0,0,0,101,2015-10-03,3,2015-03-21,2015-04-05,93,9,9,10,9,9,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.46,90
8577553,22567195,2014-10-15,60,1,0.99,FALSE,5,5,TRUE,TRUE,TRUE,house,entire_place,6,1,2,3,bed,NA,129,NA,NA,200,49,4,25,2,1125,TRUE,24,51,81,356,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,strict,FALSE,FALSE,5,NA,0
8037336,27158660,2015-02-03,60,1,0.9,FALSE,1,1,TRUE,TRUE,FALSE,apartment,private_room,3,1,1,1,bed,NA,55,350,1200,NA,10,2,15,1,1125,TRUE,1,23,53,142,2015-10-03,3,2015-09-07,2015-09-22,100,10,10,9,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,3,0
8053625,24764148,2014-12-12,720,0.9,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,futon,NA,65,250,900,NA,NA,1,0,1,1125,TRUE,3,33,52,321,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,7
2924561,4709549,2013-01-15,7200,0.3,0.5,TRUE,2,2,TRUE,TRUE,FALSE,house,entire_place,14,4.5,5,7,bed,NA,495,NA,9500,1e3,275,8,45,30,1125,TRUE,10,31,54,322,2015-10-03,14,2014-07-22,2015-07-21,97,10,10,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,2,0.96,21
1466368,3682486,2012-09-26,1440,0.7,0.78,FALSE,1,1,TRUE,FALSE,TRUE,house,entire_place,11,2.5,4,4,bed,NA,300,2e3,4e3,NA,120,6,25,3,1125,TRUE,21,46,73,344,2015-10-03,14,2013-09-24,2015-06-08,91,9,9,9,10,10,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.57,60
2071269,3633969,2012-09-21,NA,NA,NA,FALSE,1,1,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,sofa_bed,NA,63,NA,NA,NA,NA,1,0,1,1125,TRUE,0,0,0,273,2015-10-03,1,2013-12-14,2013-12-14,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.05,450
6462163,5175431,2013-02-21,1440,0.67,NA,FALSE,1,1,TRUE,FALSE,TRUE,apartment,shared_room,3,1,1,1,couch,NA,75,500,950,NA,15,1,20,1,1125,TRUE,30,60,90,365,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,150
5906280,30677708,2015-04-06,1440,0.8,0.71,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,5,1,1,1,bed,NA,90,NA,1300,NA,NA,1,0,30,1125,TRUE,30,60,90,365,2015-10-03,9,2015-04-19,2015-09-15,91,10,9,9,9,9,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,1.61,2
6692114,5892784,2013-04-12,60,1,0.84,FALSE,2,2,TRUE,TRUE,TRUE,condominium,entire_place,6,1,1,1,bed,NA,89,NA,NA,250,125,2,20,3,25,TRUE,24,54,84,359,2015-10-03,5,2015-08-01,2015-09-21,100,10,10,10,10,10,10,TRUE,NA,TRUE,strict,FALSE,FALSE,2,2.34,0
7660757,40210682,2015-08-01,1440,0.56,0.81,FALSE,1,1,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,bed,NA,34,215,700,NA,NA,1,10,1,1125,TRUE,1,25,55,330,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,7
4004969,20765570,2014-08-31,60,1,0.97,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,135,NA,NA,NA,NA,1,0,1,1125,TRUE,15,31,48,323,2015-10-03,38,2014-09-08,2015-09-28,95,10,9,10,10,10,9,TRUE,NA,TRUE,moderate,FALSE,FALSE,1,2.92,4
7346134,6556766,2013-05-24,720,1,0.79,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,2,1,0,1,bed,NA,70,417,1470,NA,NA,1,0,1,1125,TRUE,4,18,18,72,2015-10-02,8,2015-08-01,2015-09-27,90,10,8,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,1,3.75,14
1431467,7693313,2013-07-24,1440,0.8,1,TRUE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,1,2,2,bed,NA,150,675,2622,NA,NA,1,0,2,365,TRUE,0,0,0,244,2015-10-02,13,2014-06-24,2015-09-07,98,10,10,10,9,8,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.84,28
8539761,44784728,2015-09-21,NA,NA,NA,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,275,1750,4e3,500,25,2,25,1,1125,TRUE,29,59,89,179,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,NA,2
7839251,33607250,2015-05-17,60,1,1,FALSE,2,2,TRUE,TRUE,TRUE,condominium,private_room,2,1,1,1,bed,NA,75,599,NA,NA,NA,1,0,1,1125,TRUE,24,54,84,359,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,moderate,FALSE,FALSE,2,NA,0
6516643,20671894,2014-08-28,60,1,1,TRUE,3,3,TRUE,TRUE,TRUE,apartment,entire_place,10,2.5,3,6,bed,NA,318,NA,NA,200,175,6,25,3,28,TRUE,25,55,85,360,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,strict,FALSE,FALSE,3,NA,4
6167965,29960435,2015-03-24,60,0.94,0.78,FALSE,2,2,TRUE,TRUE,FALSE,apartment,private_room,2,1,1,2,bed,NA,99,650,1500,NA,NA,1,17,1,1125,TRUE,30,60,90,365,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,NA,120
6019470,1126235,2011-09-07,720,1,1,TRUE,1,1,TRUE,TRUE,TRUE,apartment,private_room,1,1,1,1,couch,NA,49,NA,NA,95,NA,1,0,2,4,TRUE,23,49,78,163,2015-10-03,14,2015-05-11,2015-09-21,97,10,10,10,10,9,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,2.88,4
1301048,4770980,2013-01-20,60,1,1,FALSE,6,6,TRUE,TRUE,TRUE,loft,entire_place,4,1,1,2,bed,NA,175,964,3500,NA,60,2,25,2,1125,TRUE,2,2,19,294,2015-10-02,23,2013-07-01,2015-07-05,92,10,9,10,10,9,10,TRUE,NA,FALSE,moderate,FALSE,TRUE,6,0.84,7
7002401,17773905,2014-07-07,720,1,1,FALSE,1,1,TRUE,FALSE,TRUE,loft,private_room,2,1,1,1,futon,NA,65,NA,NA,NA,NA,1,0,1,1125,TRUE,26,48,68,343,2015-10-02,2,2015-07-05,2015-08-05,100,8,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.66,0
956612,229947,2010-09-09,60,1,0.57,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,3,1,1,1,bed,1700,75,494,1750,NA,NA,2,35,1,1125,TRUE,1,31,61,336,2015-10-02,32,2013-05-22,2015-09-07,94,9,9,10,10,10,9,TRUE,NA,FALSE,flexible,TRUE,TRUE,1,1.11,7
6363328,33154489,2015-05-11,720,0.9,0.96,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,0,1,bed,NA,96,NA,NA,NA,20,2,25,2,1125,TRUE,20,43,72,347,2015-10-02,6,2015-08-09,2015-09-22,97,10,9,10,10,10,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,3.21,2
3971251,20579646,2014-08-26,60,1,1,FALSE,3,3,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,bed,NA,60,250,800,NA,NA,1,0,1,1125,TRUE,1,17,47,322,2015-10-02,15,2014-08-29,2015-09-14,88,8,7,10,10,9,8,TRUE,NA,FALSE,flexible,FALSE,FALSE,3,1.12,28
4347277,22567195,2014-10-15,60,1,0.99,FALSE,5,5,TRUE,TRUE,TRUE,apartment,entire_place,7,2,3,4,bed,NA,189,NA,NA,300,79,6,20,2,1125,TRUE,8,27,49,321,2015-10-02,26,2014-11-25,2015-09-23,86,9,9,10,10,10,9,TRUE,NA,FALSE,strict,FALSE,FALSE,5,2.49,1
7869796,41168909,2015-08-11,720,1,0.8,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,1,2,3,bed,NA,150,700,NA,300,60,2,20,1,1125,TRUE,4,12,20,222,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,21
6672989,34925165,2015-06-03,720,1,0.71,FALSE,2,2,TRUE,FALSE,TRUE,condominium,entire_place,6,2,2,2,bed,NA,150,NA,NA,100,NA,1,0,1,1125,TRUE,1,7,11,69,2015-10-02,4,2015-08-17,2015-09-28,95,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,2,2.5,1
6263187,27487134,2015-02-09,720,0.88,1,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,3,1,1,1,bed,NA,95,NA,NA,NA,25,1,0,4,10,TRUE,3,3,3,128,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,14
1167756,6394843,2013-05-14,1440,1,NA,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,1,1,2,bed,NA,130,NA,NA,NA,NA,3,50,2,1125,TRUE,2,6,18,272,2015-10-02,11,2013-07-09,2015-01-04,98,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,0.4,28
8393095,2880338,2012-07-09,60,0.93,0.68,FALSE,8,8,TRUE,FALSE,FALSE,apartment,entire_place,6,1,1,3,bed,NA,155,1200,4500,150,20,2,5,1,1125,TRUE,27,57,87,362,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,8,NA,21
3068787,7780304,2013-07-28,720,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,2,2,2,bed,NA,150,850,2900,NA,75,1,0,3,1125,TRUE,6,32,62,337,2015-10-02,5,2015-08-30,2015-09-21,100,10,10,10,10,9,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,4.29,14
6820708,20156811,2014-08-17,60,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,55,NA,NA,NA,NA,1,0,1,1125,TRUE,5,29,56,327,2015-10-02,24,2015-06-16,2015-09-24,98,10,10,10,10,10,10,TRUE,NA,TRUE,flexible,FALSE,FALSE,1,6.55,7
6198076,32127101,2015-04-28,720,0.88,1,FALSE,1,1,TRUE,TRUE,TRUE,house,entire_place,10,5.5,5,8,bed,NA,1100,NA,NA,500,150,10,50,2,1125,TRUE,29,59,89,364,2015-10-02,2,2015-08-23,2015-09-28,80,9,8,10,10,10,8,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.43,35
